"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 09 11:20:33 GMT 2023","Thu Mar 09 11:20:34 GMT 2023","937","webkit","demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"failed","Thu Mar 09 11:19:49 GMT 2023","Thu Mar 09 11:19:50 GMT 2023","949","webkit","demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Thu Mar 09 11:18:37 GMT 2023","Thu Mar 09 11:18:37 GMT 2023","497","chromium","demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu Mar 09 11:19:01 GMT 2023","Thu Mar 09 11:19:02 GMT 2023","792","firefox","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Thu Mar 09 11:18:34 GMT 2023","Thu Mar 09 11:18:34 GMT 2023","497","chromium","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Thu Mar 09 11:18:52 GMT 2023","Thu Mar 09 11:18:53 GMT 2023","805","firefox","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Thu Mar 09 11:18:38 GMT 2023","Thu Mar 09 11:18:39 GMT 2023","636","chromium","demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"failed","Thu Mar 09 11:19:57 GMT 2023","Thu Mar 09 11:19:58 GMT 2023","953","webkit","demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Thu Mar 09 11:19:00 GMT 2023","Thu Mar 09 11:19:01 GMT 2023","898","firefox","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"failed","Thu Mar 09 11:19:41 GMT 2023","Thu Mar 09 11:19:42 GMT 2023","953","webkit","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Thu Mar 09 11:18:33 GMT 2023","Thu Mar 09 11:18:34 GMT 2023","468","chromium","demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Thu Mar 09 11:19:02 GMT 2023","Thu Mar 09 11:19:03 GMT 2023","917","firefox","demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Thu Mar 09 11:19:08 GMT 2023","Thu Mar 09 11:19:10 GMT 2023","1988","firefox","github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"failed","Thu Mar 09 11:20:21 GMT 2023","Thu Mar 09 11:20:22 GMT 2023","951","webkit","demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu Mar 09 11:18:51 GMT 2023","Thu Mar 09 11:18:52 GMT 2023","776","firefox","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Thu Mar 09 11:18:37 GMT 2023","Thu Mar 09 11:18:38 GMT 2023","533","chromium","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"failed","Thu Mar 09 11:19:53 GMT 2023","Thu Mar 09 11:19:54 GMT 2023","955","webkit","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Thu Mar 09 11:18:45 GMT 2023","Thu Mar 09 11:18:47 GMT 2023","2187","firefox","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Thu Mar 09 11:18:35 GMT 2023","Thu Mar 09 11:18:35 GMT 2023","482","chromium","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Thu Mar 09 11:18:32 GMT 2023","Thu Mar 09 11:18:32 GMT 2023","497","chromium","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"failed","Thu Mar 09 11:19:21 GMT 2023","Thu Mar 09 11:19:22 GMT 2023","933","webkit","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu Mar 09 11:18:57 GMT 2023","Thu Mar 09 11:18:58 GMT 2023","614","firefox","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Thu Mar 09 11:18:39 GMT 2023","Thu Mar 09 11:18:40 GMT 2023","485","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"failed","Thu Mar 09 11:19:45 GMT 2023","Thu Mar 09 11:19:46 GMT 2023","965","webkit","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Thu Mar 09 11:18:30 GMT 2023","Thu Mar 09 11:18:31 GMT 2023","531","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu Mar 09 11:18:29 GMT 2023","Thu Mar 09 11:18:29 GMT 2023","377","chromium","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Thu Mar 09 11:18:49 GMT 2023","Thu Mar 09 11:18:50 GMT 2023","768","firefox","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"failed","Thu Mar 09 11:20:57 GMT 2023","Thu Mar 09 11:20:57 GMT 2023","947","webkit","github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"failed","Thu Mar 09 11:20:41 GMT 2023","Thu Mar 09 11:20:42 GMT 2023","957","webkit","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Thu Mar 09 11:18:32 GMT 2023","Thu Mar 09 11:18:33 GMT 2023","511","chromium","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Thu Mar 09 11:18:47 GMT 2023","Thu Mar 09 11:18:48 GMT 2023","593","firefox","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Thu Mar 09 11:19:05 GMT 2023","Thu Mar 09 11:19:06 GMT 2023","835","firefox","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Thu Mar 09 11:18:36 GMT 2023","Thu Mar 09 11:18:37 GMT 2023","514","chromium","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Thu Mar 09 11:18:36 GMT 2023","Thu Mar 09 11:18:36 GMT 2023","470","chromium","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Thu Mar 09 11:18:29 GMT 2023","Thu Mar 09 11:18:30 GMT 2023","453","chromium","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu Mar 09 11:18:59 GMT 2023","Thu Mar 09 11:19:00 GMT 2023","1006","firefox","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"failed","Thu Mar 09 11:20:29 GMT 2023","Thu Mar 09 11:20:30 GMT 2023","940","webkit","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"failed","Thu Mar 09 11:20:37 GMT 2023","Thu Mar 09 11:20:38 GMT 2023","945","webkit","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"failed","Thu Mar 09 11:19:17 GMT 2023","Thu Mar 09 11:19:18 GMT 2023","945","webkit","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Thu Mar 09 11:18:58 GMT 2023","Thu Mar 09 11:18:59 GMT 2023","687","firefox","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Thu Mar 09 11:18:30 GMT 2023","Thu Mar 09 11:18:30 GMT 2023","496","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Thu Mar 09 11:18:28 GMT 2023","Thu Mar 09 11:18:29 GMT 2023","771","chromium","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"failed","Thu Mar 09 11:19:37 GMT 2023","Thu Mar 09 11:19:38 GMT 2023","950","webkit","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"failed","Thu Mar 09 11:20:17 GMT 2023","Thu Mar 09 11:20:18 GMT 2023","941","webkit","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"failed","Thu Mar 09 11:19:33 GMT 2023","Thu Mar 09 11:19:34 GMT 2023","931","webkit","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu Mar 09 11:18:31 GMT 2023","Thu Mar 09 11:18:32 GMT 2023","571","chromium","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu Mar 09 11:18:42 GMT 2023","Thu Mar 09 11:18:44 GMT 2023","2448","chromium","github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Thu Mar 09 11:19:03 GMT 2023","Thu Mar 09 11:19:04 GMT 2023","828","firefox","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"failed","Thu Mar 09 11:19:29 GMT 2023","Thu Mar 09 11:19:30 GMT 2023","954","webkit","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu Mar 09 11:18:33 GMT 2023","Thu Mar 09 11:18:33 GMT 2023","484","chromium","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"failed","Thu Mar 09 11:20:53 GMT 2023","Thu Mar 09 11:20:54 GMT 2023","945","webkit","example.spec.ts","","","","get started link",""
"passed","Thu Mar 09 11:18:34 GMT 2023","Thu Mar 09 11:18:35 GMT 2023","499","chromium","demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Thu Mar 09 11:18:53 GMT 2023","Thu Mar 09 11:18:54 GMT 2023","721","firefox","demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Thu Mar 09 11:18:41 GMT 2023","Thu Mar 09 11:18:42 GMT 2023","690","chromium","example.spec.ts","","","","get started link",""
"passed","Thu Mar 09 11:18:41 GMT 2023","Thu Mar 09 11:18:41 GMT 2023","575","chromium","example.spec.ts","","","","has title",""
"passed","Thu Mar 09 11:18:35 GMT 2023","Thu Mar 09 11:18:36 GMT 2023","400","chromium","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Thu Mar 09 11:18:48 GMT 2023","Thu Mar 09 11:18:49 GMT 2023","729","firefox","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"failed","Thu Mar 09 11:19:25 GMT 2023","Thu Mar 09 11:19:26 GMT 2023","953","webkit","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"failed","Thu Mar 09 11:20:25 GMT 2023","Thu Mar 09 11:20:26 GMT 2023","940","webkit","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Thu Mar 09 11:18:54 GMT 2023","Thu Mar 09 11:18:55 GMT 2023","1181","firefox","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"failed","Thu Mar 09 11:20:13 GMT 2023","Thu Mar 09 11:20:14 GMT 2023","951","webkit","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"failed","Thu Mar 09 11:20:09 GMT 2023","Thu Mar 09 11:20:10 GMT 2023","943","webkit","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
